near_fid;near_dist;utmx_vertice;utmy_vertice;id;localidade;forn_fa;talhao;utmx_point;utmy_point
7964;43,215204;226996,454952;7705985,842370;947;1674_32;1674;32;226960,206;7706008,036
7964;56,921299;225598,810801;7707347,658130;948;1674_8;1674;8;225656,451;7707347,377
8899;67,895907;235064,015466;7693465,280240;949;1676_3;1676;3;235064,704;7693532,927
8911;14,763694;234503,698473;7693465,280240;950;1676_7;1676;7;234504,387;7693479,770
8480;40,844215;225092,877262;7699609,090970;951;1677_7;1677;7;225093,566;7699649,676
9904;0,000000;247210,937760;7684439,156740;952;1678_1;1678;1;247211,626;7684438,876
2594;8,540895;251717,285997;7745033,255650;953;1680_1;1680;1;251726,518;7745032,974
8702;140,765941;244204,948579;7696726,449900;954;1681_10;1681;10;244301,271;7696622,799
8702;210,150561;244758,182724;7697745,565420;955;1681_8;1681;8;244916,435;7697606,099
8702;156,029815;244379,654093;7697017,625760;956;1681_9;1681;9;244528,950;7696969,586
9121;58,160998;249067,585535;7692912,046090;957;1683_6;1683;6;249121,793;7692888,941
9121;44,521708;249237,835819;7692329,694360;958;1683_8;1683;8;249238,524;7692373,952
9283;319,571655;252794,636609;7689505,288480;959;1684_2;1684;2;253106,913;7689576,500
11250;99,339228;273206,064858;7674160,320460;960;1685_2;1685;2;273159,682;7674247,546
11169;84,018834;272623,713117;7674043,850110;961;1685_3;1685;3;272679,654;7674106,891
8604;242,316711;247349,647925;7697035,299950;962;1687_1;1687;1;247107,925;7697035,019
8584;144,451043;247582,588620;7697687,330240;963;1687_2;1687;2;247567,459;7697830,688
9121;160,093241;247058,472069;7698036,741280;964;1687_3;1687;3;247183,576;7697935,611
8453;404,832469;215990,007243;7699550,855820;965;1693_4;1693;4;215877,639;7699939,552
8406;172,733383;216688,829316;7700016,737200;966;1693_6;1693;6;216517,325;7700001,567
9009;49,945763;225212,654239;7692533,517500;967;1695_1;1695;1;225213,343;7692583,209
8895;267,293544;224783,518346;7693221,738820;968;1698_3;1698;3;224516,770;7693221,458
8798;284,917080;226064,692161;7694164,102330;969;1699_1;1699;1;225933,189;7693911,257
8700;443,067517;244699,947548;7695567,954970;970;1702_10;1702;10;244257,388;7695567,674
8715;327,072373;243477,008910;7695124,982650;971;1702_16;1702;16;243741,618;7694931,284
8702;17,164828;242370,540622;7695507,182920;972;1702_19;1702;19;242388,401;7695506,902
8832;671,741124;241875,541641;7693843,808850;973;1702_2;1702;2;242446,160;7694199,613
8715;305,539178;243273,185804;7695474,393690;974;1702_20;1702;20;243573,817;7695532,983
8700;668,406887;244699,947549;7695561,746440;975;1702_60;1702;60;244403,411;7694962,476
8702;86,506199;243127,597871;7695619,981610;976;1702_77;1702;77;243044,336;7695598,679
8715;77,534332;243214,950627;7695154,100230;977;1702_78;1702;78;243173,581;7695088,645
9591;179,262584;242050,247152;7686447,941930;978;1704_1;1704;1;241872,076;7686434,564
9303;20,192431;241933,776808;7689184,995040;979;1705_1;1705;1;241954,470;7689181,906
8695;677,407991;222424,993851;7696056,745440;980;1706_12;1706;12;222517,379;7696728,015
8695;45,088302;222483,229018;7696023,950970;981;1706_16;1706;16;222529,031;7696023,670
8570;151,384411;222279,405914;7697454,389590;982;1706_23;1706;23;222397,875;7697358,870
8620;360,977882;221493,231068;7696717,327940;983;1706_25;1706;25;221855,099;7696717,047
8513;365,927560;222512,346610;7698502,622690;984;1706_28;1706;28;222494,085;7698136,703
8699;309,404370;223385,874202;7695794,687170;985;1706_9;1706;9;223191,280;7696034,615
6229;26,751690;270556,364526;7719991,401340;986;1707_3;1707;3;270565,577;7719965,756
5857;131,274725;271779,303174;7722233,455490;987;1708_15;1708;15;271848,525;7722121,172
6493;184,491042;272652,830734;7722791,883280;988;1708_3;1708;3;272468,983;7722791,602
6001;261,817155;272419,890081;7721884,044460;989;1708_6;1708;6;272449,868;7722144,000
8789;64,936511;252852,871793;7694455,278150;990;1713_65;1713;65;252888,447;7694400,201
8833;19,451835;254279,633531;7693735,701870;991;1713_71;1713;71;254260,863;7693735,421
9121;154,325952;254250,515953;7694688,218840;992;1713_72;1713;72;254404,628;7694670,790
9121;22,236085;254567,792978;7695124,982630;993;1713_73;1713;73;254568,481;7695102,458
2504;355,832390;254745,154683;7745760,465260;994;1714_5;1714;5;254745,843;7745404,229
2692;36,668308;254949,338108;7744450,173870;995;1714_7;1714;7;254934,944;7744483,329
2878;52,149047;254280,255039;7743896,939740;996;1715_2;1715;2;254280,943;7743844,491
2852;167,285758;254803,750181;7743052,529740;997;1716_13;1716;13;254967,831;7743016,103
2897;101,233814;255065,808455;7743634,881460;998;1716_14;1716;14;254981,079;7743688,998
2878;58,615690;254250,516028;7743052,529730;999;1716_7;1716;7;254301,665;7743022,384
9121;36,175343;246356,635765;7698648,210600;1000;1717_11;1717;11;246357,324;7698611,740
9121;31,727681;246359,649986;7697888,725940;1001;1717_12;1717;12;246328,598;7697888,445
8700;76,272239;245631,710317;7696347,921270;1002;1717_18;1717;18;245582,146;7696405,058
